run_id,reset_mode,soft_reset_coeff,leakage,current_speed,force_magnitude,direction_deg,cte_rmse,cte_p95,score,fail_reason,steps,finished,alpha,sigma
0,hard_reset,0.0,0.0,0.1,5.0,0,0.9085704107384904,2.048624001118237,0.35855065235886197,,52940,True,0.0,0.0
1,hard_reset,0.0,0.0,0.1,5.0,30,0.8988928543380194,1.6792904231999917,0.45237375285740566,,53180,True,0.0,0.0
2,hard_reset,0.0,0.0,0.1,5.0,90,0.9096398213099091,1.4915438520377142,0.06102283223002865,,52880,True,0.0,0.0
3,hard_reset,0.0,0.0,0.1,5.0,150,0.8909382183171259,1.6992827457625244,0.3476014206267553,,53100,True,0.0,0.0
4,hard_reset,0.0,0.0,0.1,5.0,180,0.9130217210815113,2.0826749453522693,0.4311241702046925,,52840,True,0.0,0.0
5,hard_reset,0.0,0.0,0.1,5.0,270,0.8789928119903451,2.3428646376417435,0.01192015611594116,,53160,True,0.0,0.0
6,hard_reset,0.0,0.0,0.2,10.0,0,1.1416714257487357,2.251022317810727,0.451243278657138,,54260,True,0.0,0.0
7,hard_reset,0.0,0.0,0.2,10.0,30,1.079226689777466,1.9257217504327384,0.5449895695806733,,51480,True,0.0,0.0
8,hard_reset,0.0,0.0,0.2,10.0,90,1.2233714918706893,1.8606357164463647,0.0,,48840,True,0.0,0.0
9,hard_reset,0.0,0.0,0.2,10.0,150,1.0406478221333433,1.8900495777432775,0.4752411706271028,,51420,True,0.0,0.0
10,hard_reset,0.0,0.0,0.2,10.0,180,1.16224347903858,2.37008153056397,0.5109708619170916,,54180,True,0.0,0.0
11,hard_reset,0.0,0.0,0.2,10.0,270,0.9903492247867144,2.66276222429784,0.02038520361699051,,61160,True,0.0,0.0
12,hard_reset,0.0,0.0,0.3,14.999999999999998,0,1.3710497310474763,2.7721903568646313,0.2750232725425328,,64320,True,0.0,0.0
13,hard_reset,0.0,0.0,0.3,14.999999999999998,30,1.5236833290482523,2.88738553159744,0.5419614424061914,,55420,True,0.0,0.0
14,hard_reset,0.0,0.0,0.3,14.999999999999998,90,2.2731910403017515,4.5627270716388235,0.0,,44180,True,0.0,0.0
15,hard_reset,0.0,0.0,0.3,14.999999999999998,150,1.5400121728161629,2.7525627042801286,0.3733423256390399,,55640,True,0.0,0.0
16,hard_reset,0.0,0.0,0.3,14.999999999999998,180,1.4269777674219786,3.205258585847182,0.49699733050885353,,64060,True,0.0,0.0
17,hard_reset,0.0,0.0,0.3,14.999999999999998,270,1.0345849964522578,2.664839626488759,0.0009469548046489609,,87060,True,0.0,0.0
18,hard_reset,0.0,0.0,0.4,20.0,0,1.411409974985743,3.233716969153607,0.26881209724862565,,101060,True,0.0,0.0
19,hard_reset,0.0,0.0,0.4,20.0,30,5.351160299083822,15.345738797232668,0.29812084412197787,,72180,True,0.0,0.0
20,hard_reset,0.0,0.0,0.4,20.0,90,3.8984358454556234,8.246395366612685,0.0020213054478667994,,43160,True,0.0,0.0
21,hard_reset,0.0,0.0,0.4,20.0,150,7.170488243316334,17.02451615976019,0.29144336379160457,,72700,True,0.0,0.0
22,hard_reset,0.0,0.0,0.4,20.0,180,1.47014289732884,3.5181911398178913,0.3497016934956643,,100120,True,0.0,0.0
23,hard_reset,0.0,0.0,0.4,20.0,270,1.014677133405348,2.4203461644772952,0.0,,167020,True,0.0,0.0
24,hard_reset,0.0,0.1,0.1,5.0,0,1.085102231251531,2.024151372533477,0.7941402563750376,,53160,True,0.0,0.1
25,hard_reset,0.0,0.1,0.1,5.0,30,1.0167053507691448,1.579465008476589,0.7213582594407898,,53160,True,0.0,0.1
26,hard_reset,0.0,0.1,0.1,5.0,90,1.0984851060221854,1.4161492445401591,0.5056190943566089,,52420,True,0.0,0.1
27,hard_reset,0.0,0.1,0.1,5.0,150,1.039703502746081,1.6006520467112795,0.7141251517723306,,52820,True,0.0,0.1
28,hard_reset,0.0,0.1,0.1,5.0,180,1.1252769154427542,2.078214595413038,0.930730989347811,,52780,True,0.0,0.1
